noise,strategy,rmse,est_mean,est_total,abs_err_amplitude,abs_err_frequency,abs_err_offset,est_amplitude,est_frequency,est_offset,est_tau,est_A,generator,abs_err_A,abs_err_tau
NoNoise,FluorescenceCount,0.0,0.10892526061606493,21.785052123212985,,,,,,,,,Rabi,,
NoNoise,RabiEstimate,0.00002187022029833478,,,0.00003785223697244655,9.69258903804615e-7,1.0900922218920472e-6,0.24185302684378301,0.6307790470250447,0.10770132503066095,,,Rabi,,
NoNoise,T1Estimate,0.2418519367515611,,,,,0.2418519367515611,,,-0.13415170181312205,0.0,0.0,Rabi,,
GaussianNoise,FluorescenceCount,0.0,0.30748683065090954,61.49736613018191,,,,,,,,,Rabi,,
GaussianNoise,RabiEstimate,0.056964610797117274,,,0.09725740553371942,0.002235414941392566,0.016459059471628068,1.0182165078950751,0.5594659140948761,0.31573863903805177,,,Rabi,,
GaussianNoise,T1Estimate,1.034675567366703,,,,,1.034675567366703,,,-0.7024778688570232,0.0,0.0,Rabi,,
GaussianNoise+DriftNoise+OutlierSpikes,FluorescenceCount,0.0,0.05227253952572315,10.45450790514463,,,,,,,,,Rabi,,
GaussianNoise+DriftNoise+OutlierSpikes,RabiEstimate,0.4449926628719923,,,0.382061908202753,0.624952448846626,0.23983024206883563,1.2379039776226823,1.6083034677401016,-0.18822632439583686,,,Rabi,,
GaussianNoise+DriftNoise+OutlierSpikes,T1Estimate,1.477734219691518,,,,,1.477734219691518,,,-1.4261303020185192,20.580729225170877,1.506458973235234,Rabi,,
PoissonNoise,FluorescenceCount,0.0,0.6890999999999999,137.82,,,,,,,,,Rabi,,
PoissonNoise,RabiEstimate,0.20872580471826221,,,0.1573507402043648,0.10915609687010086,0.30663508562961617,0.98,2.0650943396226413,0.98,,,Rabi,,
PoissonNoise,T1Estimate,0.6733649143703838,,,,,0.6733649143703838,,,0.0,0.0,0.0,Rabi,,
NoNoise,FluorescenceCount,0.0,0.29700338922741804,59.40067784548361,,,,,,,,,T1,,
NoNoise,RabiEstimate,0.2685873563304907,,,,,0.2685873563304907,0.2651674136181203,0.0,0.45975695723165827,,,T1,,
NoNoise,T1Estimate,0.1751624238984654,,,,,0.003419942712370422,,,0.194589543613538,0.7841927938395297,0.7566040473903556,T1,0.22284927744174465,0.2058449119446324
GaussianNoise,FluorescenceCount,0.0,0.28411481858449195,56.822963716898386,,,,,,,,,T1,,
GaussianNoise,RabiEstimate,0.3035590272757039,,,,,0.3035590272757039,0.32510104527800593,11.130571834768318,0.35304996548699136,,,T1,,
GaussianNoise,T1Estimate,0.15002266836643502,,,,,0.02154201800230207,,,0.0279489202089854,2.491232550592442,0.5757934269191759,T1,0.009123564713703014,0.2587916248618942
GaussianNoise+DriftNoise+OutlierSpikes,FluorescenceCount,0.0,0.6197492761944239,123.94985523888478,,,,,,,,,T1,,
GaussianNoise+DriftNoise+OutlierSpikes,RabiEstimate,0.1619278017784101,,,,,0.1619278017784101,0.9823926940860164,9.245242989640731,0.5460494603620294,,,T1,,
GaussianNoise+DriftNoise+OutlierSpikes,T1Estimate,6.013886278701748,,,,,0.8204648923076063,,,-0.4363432337239871,12.719595225229938,1.2707507838744023,T1,0.6909239898545163,10.360981899424672
PoissonNoise,FluorescenceCount,0.0,0.5986,119.72,,,,,,,,,T1,,
PoissonNoise,RabiEstimate,0.24902506150663312,,,,,0.24902506150663312,0.45000000000000007,7.650100111234705,0.67,,,T1,,
PoissonNoise,T1Estimate,2.046397384028008,,,,,0.20097493849336692,,,0.22,6.308868441273589,0.5218471648827399,T1,0.12656440226737525,3.536497884383124
