generator,noise,strategy,abs_err_x,uncert,uncert_pos,uncert_sep,abs_err_x1,abs_err_x2,pair_rmse
OnePeak-gaussian,NoNoise,Grid21,0.01101422345581388,0.05,0.05,NaN,,,
OnePeak-gaussian,NoNoise,Golden20,0.13408065303676295,0.1274642784226795,0.1274642784226795,NaN,,,
OnePeak-gaussian,NoNoise,TwoGreedy,0.021682809595572332,0.01500000000000001,0.01500000000000001,0.01500000000000001,,,
OnePeak-gaussian,Gauss(0.05),Grid21,0.015070180521749799,0.049999999999999996,0.049999999999999996,NaN,,,
OnePeak-gaussian,Gauss(0.05),Golden20,0.11139861601227445,0.12455068740271313,0.12455068740271313,NaN,,,
OnePeak-gaussian,Gauss(0.05),TwoGreedy,0.02185353728250374,0.022500000000000003,0.022500000000000003,0.022500000000000003,,,
OnePeak-gaussian,Poisson(50),Grid21,0.02136378196309339,0.050000000000000024,0.050000000000000024,NaN,,,
OnePeak-gaussian,Poisson(50),Golden20,0.121918926939249,0.1274642784226795,0.1274642784226795,NaN,,,
OnePeak-gaussian,Poisson(50),TwoGreedy,0.023372776107056386,0.01750000000000001,0.01750000000000001,0.01750000000000001,,,
OnePeak-gaussian,Heavy,Grid21,0.022719809597214265,0.05000000000000001,0.05000000000000001,NaN,,,
OnePeak-gaussian,Heavy,Golden20,0.09251337320887218,0.131224989991992,0.131224989991992,NaN,,,
OnePeak-gaussian,Heavy,TwoGreedy,0.028674884346317327,0.03000000000000001,0.03000000000000001,0.03000000000000001,,,
OnePeak-rabi,NoNoise,Grid21,0.04814057096664599,0.05,0.05,NaN,,,
OnePeak-rabi,NoNoise,Golden20,0.23033302393972166,0.10915475947422651,0.10915475947422651,NaN,,,
OnePeak-rabi,NoNoise,TwoGreedy,0.04423651318028132,0.02000000000000001,0.02000000000000001,0.02000000000000001,,,
OnePeak-rabi,Gauss(0.05),Grid21,0.05793209669783903,0.05000000000000001,0.05000000000000001,NaN,,,
OnePeak-rabi,Gauss(0.05),Golden20,0.19062392897206104,0.12427490787376398,0.12427490787376398,NaN,,,
OnePeak-rabi,Gauss(0.05),TwoGreedy,0.06672415658038222,0.02749999999999999,0.02749999999999999,0.02749999999999999,,,
OnePeak-rabi,Poisson(50),Grid21,0.04592626284232259,0.05,0.05,NaN,,,
OnePeak-rabi,Poisson(50),Golden20,0.13640905498107606,0.10915475947422651,0.10915475947422651,NaN,,,
OnePeak-rabi,Poisson(50),TwoGreedy,0.025297773100137498,0.027500000000000017,0.027500000000000017,0.027500000000000017,,,
OnePeak-rabi,Heavy,Grid21,0.035349994757616,0.05,0.05,NaN,,,
OnePeak-rabi,Heavy,Golden20,0.10054940603835165,0.13414125070936916,0.13414125070936916,NaN,,,
OnePeak-rabi,Heavy,TwoGreedy,0.029948669811593935,0.01500000000000001,0.01500000000000001,0.01500000000000001,,,
OnePeak-t1_decay,NoNoise,Grid21,0.011898724784053075,0.049999999999999996,0.049999999999999996,NaN,,,
OnePeak-t1_decay,NoNoise,Golden20,0.14982955425729705,0.1274642784226795,0.1274642784226795,NaN,,,
OnePeak-t1_decay,NoNoise,TwoGreedy,0.030373021525988992,0.015000000000000005,0.015000000000000005,0.015000000000000005,,,
OnePeak-t1_decay,Gauss(0.05),Grid21,0.014886296502535817,0.05000000000000001,0.05000000000000001,NaN,,,
OnePeak-t1_decay,Gauss(0.05),Golden20,0.25933503625791887,0.12004622183195819,0.12004622183195819,NaN,,,
OnePeak-t1_decay,Gauss(0.05),TwoGreedy,0.014454262059934447,0.0175,0.0175,0.0175,,,
OnePeak-t1_decay,Poisson(50),Grid21,0.0197763061519552,0.05,0.05,NaN,,,
OnePeak-t1_decay,Poisson(50),Golden20,0.16409197832223538,0.11830951894845301,0.11830951894845301,NaN,,,
OnePeak-t1_decay,Poisson(50),TwoGreedy,0.023996772097402974,0.012500000000000006,0.012500000000000006,0.012500000000000006,,,
OnePeak-t1_decay,Heavy,Grid21,0.01770692308376649,0.05,0.05,NaN,,,
OnePeak-t1_decay,Heavy,Golden20,0.04391624225035142,0.15239005335978648,0.15239005335978648,NaN,,,
OnePeak-t1_decay,Heavy,TwoGreedy,0.030418700557122248,0.02250000000000001,0.02250000000000001,0.02250000000000001,,,
TwoPeak,NoNoise,Grid21,,0.05000000000000001,0.05000000000000001,NaN,inf,inf,inf
TwoPeak,NoNoise,Golden20,,0.1136764870612319,0.1136764870612319,NaN,inf,inf,inf
TwoPeak,NoNoise,TwoGreedy,,0.19000000000000003,0.19000000000000003,0.19000000000000003,0.05369209590007189,0.006121823913419089,0.039941067529037165
TwoPeak,Gauss(0.05),Grid21,,0.05,0.05,NaN,inf,inf,inf
TwoPeak,Gauss(0.05),Golden20,,0.12500221457853128,0.12500221457853128,NaN,inf,inf,inf
TwoPeak,Gauss(0.05),TwoGreedy,,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.28418357112525683,0.1335387168273593,0.27809107822115053
TwoPeak,Poisson(50),Grid21,,0.05,0.05,NaN,inf,inf,inf
TwoPeak,Poisson(50),Golden20,,0.128309518948453,0.128309518948453,NaN,inf,inf,inf
TwoPeak,Poisson(50),TwoGreedy,,0.17,0.17,0.17,0.041902184477405846,0.0406283242299603,0.048661583004741604
TwoPeak,Heavy,Grid21,,0.05000000000000001,0.05000000000000001,NaN,inf,inf,inf
TwoPeak,Heavy,Golden20,,0.12806640938985286,0.12806640938985286,NaN,inf,inf,inf
TwoPeak,Heavy,TwoGreedy,,0.02000000000000001,0.02000000000000001,0.02000000000000001,0.3980416600430293,0.15465913086614963,0.37229716583669803
